record - leader,record - leader 1,record - leader 2,record - leader 3,001,001 1,001 2,008,008 1,008 2,008 3,008 4,008 5,008 6,008 6 1,008 6 2,035,035 2 $ $ $,035 2 $ $ $ 1,035 2 $ $ $ 2,035 3 $ $ $,035 4 $ $ $,035 4 $ $ $ 1,035 4 $ $ $ 2 Language of cataloging varies,035 5 $ $ $,040,040 2,040 3,040 4,245,245 1,245 organization,245 2,245 Author,245 2 1,245 publisher,245 unkown number,245 3,260,260 1,260 2,260 2 1,260 2 1 1,260 2 location,260 location,260 2 unknwon,260 2 unknown,260 3,260 orgnization,260 4 time,260 time 1 1,260 time,260 5,260 5 1,260 e,260 6,260 6 1,260 6 2,260 7,260 7 2 redundant information,310 1,310 2,310 3,310 4,310 5,310 6,336,337,338,653,264,264 1,264 2,264 2 1 time,264 2 2,264 2 2 1,264 2 2 2 organization,264 2 2 3 time,264 3,264 3 1 time,264 3 2,264 3 2 1,264 3 2 2,264 3 2 3,264 3 2 3 1 time,264 3 2 3 1 time 2,264 3 2 3 2 location,264 3 2 4,264 3 2 5 time,264 4,264 4 1,264 4 1 1,264 4 1 1 2 time,264 4 1 2 location,264 4 2,264 4 2 2 organization,264 4 3,264 4 3 2 time,264 5,264 5 1,264 5 1 2 location,264 5 2 organization,264 5 3 time,264 6,264 7,996,998,650,710,246,246 1,246 2,246 3,246 4,246 5,246 6,246 7,246 8,246 9,246 10,246 11,246 12,500,775,775 1,775 2 start with t,775 3,775 4 start with t,775 5,775 6,775 7,775 8,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00822nam  2200217u  4500,822,nam,  2200217u  4500,992947140101480,99294714,101480,810827s1981    xx |||| |     000|0 dut c,810827,s,1981,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000294714LBS01-Aleph^$ $ $a664941^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)992947140101471,a(BeLVLBS)000294714LBS01-Aleph^,a(BeLVLBS),000294714LBS01-Aleph,a664941^,a(EXLNZ-32KUL_LIBIS_NETWORK)992947140101471,a(EXLNZ-32KUL_LIBIS_NETWORK)992947140101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aDrie markante theatermannen$ $ $bRenaat Verheyen,^$0$0$aDrie markante theatermannen,Drie markante theatermannen,bRenaat Verheyen,Renaat Verheyen,,,,, Lode Geysen, Lode Geysen,,,,,,,,,,,,,,,,,,,,, Anton van de Velde /,cSamenst. Rik Jacobs.,,,,,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c1981$ $ $eTielt$ $ $fLannoo,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ac,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),^$ $7$2KADOC,aC3,xKunst en cultuur,6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $ap. 73-112$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v181,^$1$ $aJacobs, Rik$ $ $4com,,,,,,,,,,,,,,,,,,,,,,,,,
01044nam  2200289u  4500,1044,nam,  2200289u  4500,993036590101480,99303659,101480,811022s1981    xx |||| |     000|0 dut c,811022,s,1981,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000303659LBS01-Aleph^$ $ $a681826^$ $ $aDOCVB-000792258^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993036590101471,a(BeLVLBS)000303659LBS01-Aleph^,a(BeLVLBS),000303659LBS01-Aleph,a681826^,a(EXLNZ-32KUL_LIBIS_NETWORK)993036590101471,a(EXLNZ-32KUL_LIBIS_NETWORK)993036590101471,,aDOCVB-000792258^,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aJan van Ruusbroec /$ $ $cSamenst. A. Keersmaekers.,^$0$0$aJan van Ruusbroec /,Jan van Ruusbroec /,cSamenst. A. Keersmaekers.,,cSamenst. A. Keersmaekers.,Samenst. A. Keersmaekers.,,,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c[1981]-?$ $ $eTielt$ $ $fLannoo,^,aS.l.,aS.l.,aS.l.,aS.l.,S.l.,,,bChristelijk Vlaams kunstenaarsverbond,Christelijk Vlaams Kunstenaarsverbond,c[1981]-?,,[1981]-?,eTielt,eTielt,eTielt,fLannoo,fLannoo,,,,,,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2UDC$ $ $a248 JAN VAN RUUSBROEC$ $ $xSpiritualiteit. Ascese. Mystiek. Vroomheid--JAN VAN RUUSBROEC^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT)^$ $7$2SISO$ $ $a245.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $ap. 139-195$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v182-183,^$1$ $aKeersmaekers, August.$ $ $4com^$0$ $aJan van Ruusbroec.$ $ $4pub,,,,,,,,,,,^$1$0$aVan Ruusbroec, Jan,^$ $ $aBOEK,,,,,,,,,,,,,,
00652nam  2200181u  4500,652,nam,  2200181u  4500,993208160101480,99320816,101480,811022s1981    xx |||| |     000|0 dut c,811022,s,1981,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000320816LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993208160101471$ $ $bLanguage of cataloging varies$ $ $erda based,a(BeLVLBS)000320816LBS01-Aleph^,a(BeLVLBS),000320816LBS01-Aleph,a(EXLNZ-32KUL_LIBIS_NETWORK)993208160101471,bLanguage of cataloging varies,,Language of cataloging varies,erda based,,,,,^$0$0$aActuele Vlaamse dichters 1.,^$0$0$aActuele Vlaamse dichters 1.,Actuele Vlaamse dichters 1.,,,,,,,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c[1981]-?$ $ $eTielt$ $ $fLannoo,^,aS.l.,aS.l.,aS.l.,aS.l.,S.l.,,,bChristelijk Vlaams kunstenaarsverbond,Christelijk Vlaams Kunstenaarsverbond,c[1981]-?,,[1981]-?,eTielt,eTielt,eTielt,fLannoo,fLannoo,,,,,,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $ap. 299-[341]$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00775nam  2200217u  4500,775,nam,  2200217u  4500,993283350101480,99328335,101480,820512s1982    xx |||| |     000|0 dut c,820512,s,1982,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000328335LBS01-Aleph^$ $ $a744461^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993283350101471,a(BeLVLBS)000328335LBS01-Aleph^,a(BeLVLBS),000328335LBS01-Aleph,a744461^,a(EXLNZ-32KUL_LIBIS_NETWORK)993283350101471,a(EXLNZ-32KUL_LIBIS_NETWORK)993283350101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aMuziek van onze eeuw /$ $ $cSamenstelling J. Van Ackere.,^$0$0$aMuziek van onze eeuw /,Muziek van onze eeuw /,cSamenstelling J. Van Ackere.,,cSamenstelling J. Van Ackere.,Samenstelling J. Van Ackere.,,,^$ $ $aS.l.$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c[1982]-?$ $ $eTielt$ $ $fLannoo,^,aS.l.,aS.l.,aS.l.,aS.l.,S.l.,,,bChristelijk Vlaams kunstenaarsverbond,Christelijk Vlaams Kunstenaarsverbond,c[1982]-?,,[1982]-?,eTielt,eTielt,eTielt,fLannoo,fLannoo,,,,,,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $a38 p.$ $ $bill.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v186,^$1$ $aVan Ackere, Jules$ $ $4com,,,,,,,,,,,,,,,,,,,,,,,,,,,
00786nam  2200217u  4500,786,nam,  2200217u  4500,993326400101480,99332640,101480,820624s1982    xx |||| |     000|0 dut c,820624,s,1982,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000332640LBS01-Aleph^$ $ $a754563^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993326400101471,a(BeLVLBS)000332640LBS01-Aleph^,a(BeLVLBS),000332640LBS01-Aleph,a754563^,a(EXLNZ-32KUL_LIBIS_NETWORK)993326400101471,a(EXLNZ-32KUL_LIBIS_NETWORK)993326400101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$4$aHet paard in literatuur en beeldende kunst /$ $ $cSamenst. Willy Otte.,^$0$4$aHet paard in literatuur en beeldende kunst /,Het paard in literatuur en beeldende kunst /,cSamenst. Willy Otte.,,cSamenst. Willy Otte.,Samenst. Willy Otte.,,,^$ $ $aRoeselare$ $ $bChristelijk Vlaams kunstenaarsverbond$ $ $c[1982]-?$ $ $eTielt$ $ $fLannoo,^,aRoeselare,aRoeselare,aRoeselare,aRoeselare,Roeselare,,,bChristelijk Vlaams kunstenaarsverbond,Christelijk Vlaams Kunstenaarsverbond,c[1982]-?,,[1982]-?,eTielt,eTielt,eTielt,fLannoo,fLannoo,,,,,,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,^$ $7$2KADOC$ $ $aC3$ $ $xKunst en cultuur$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $ap. 65-96.,^$1$ $aVlaanderen : tweemaandelijks tijdschrift voor kunst en cultuur$ $ $v187,^$1$ $aOtte, Willy$ $ $4com,,,,,,,,,,,,,,,,,,,,,,,,,,,
00874nab a2200253u  4500,874,nab, a2200253u  4500,993408610101480,99340861,101480,820909s1981    xx |||| |     000|0 dut c,820909,s,1981,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000340861LBS01-Aleph^$ $ $a783507^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993408610101471,a(BeLVLBS)000340861LBS01-Aleph^,a(BeLVLBS),000340861LBS01-Aleph,a783507^,a(EXLNZ-32KUL_LIBIS_NETWORK)993408610101471,a(EXLNZ-32KUL_LIBIS_NETWORK)993408610101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$4$aEen opinieonderzoek bij de Belgische bevolking over de toekomst van het land,^$0$4$aEen opinieonderzoek bij de Belgische bevolking over de toekomst van het land,Een opinieonderzoek bij de Belgische bevolking over de toekomst van het land,,,,,,,^$ $ $aBrussel$ $ $bCEPESS$ $ $c[1981]-?,^,aBrussel,aBrussel,aBrussel,aBrussel,Brussel,,,bCEPESS,CEPESS,c[1981]-?,,[1981]-?,,,,,,,,,,,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aSpecial issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ad,,^$2$ $aCentrum voor politieke, economische en sociale studies Brussel.$ $ $4oth, economische en sociale studies Brussel.,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $a76 p.,^$1$ $aCEPESS-documenten$ $ $v20,6,,,^$1$8$x0773-0527$ $ $tCEPESS-documenten$ $ $4773$ $ $gno:host^$1$8$w(BeLVLBS)000498026LBS01-Aleph$ $ $gno:001436326,^$ $ $aNZJOURN123,,,,,,,,,,,,,,,,,,,,,,,
01126nas  2200253u  4500,1126,nas,  2200253u  4500,993706450101480,99370645,101480,820909s1981    xx |||| |     000|0 dut c,820909,s,1981,    ,xx, |||| |     000|0 du, |||| |     000|0 ,du,^$ $ $a(BeLVLBS)000370645LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)993706450101471$ $ $bLanguage of cataloging varies$ $ $erda based,a(BeLVLBS)000370645LBS01-Aleph^,a(BeLVLBS),000370645LBS01-Aleph,a(EXLNZ-32KUL_LIBIS_NETWORK)993706450101471,bLanguage of cataloging varies,,Language of cataloging varies,erda based,,,,,^$0$0$aCampus$ $ $bkwartaalschrift voor Vlaamse Universiteitspastoraal.$ $ $61187544,^$0$0$aCampus,Campus,bkwartaalschrift voor Vlaamse Universiteitspastoraal.,kwartaalschrift voor Vlaamse Universiteitspastoraal.,,,61187544,61187544,^$ $ $aLeuven$ $ $bVereniging universitaire parochies$ $ $c[1982]-[2000],^,aLeuven,aLeuven,aLeuven,aLeuven,Leuven,,,bVereniging universitaire parochies,Vereniging universitaire parochies,c[1982]-[2000],,[1982]-[2000],,,,,,,,,^,aUnknown,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2UDC$ $ $a25 <05>$ $ $xPastoraaltheologie--Tijdschriften^$ $7$2VLP$ $ $a845 Religie,,,,,,,,,,,,,,,,^$1$8$w(BeLVLBS)000370629LBS01-Aleph$ $ $tUP : VUP-blad : Vereniging universitaire parochies$ $ $478004^$1$8$w(BeLVLBS)000454757LBS01-Aleph$ $ $tKUC : maandblad van het Katoliek universitair centrum.$ $ $478004^$1$8$w(BeLVLBS)001792393LBS01-Aleph$ $ $tDe dauw.$ $ $478004,^$1$8$w(BeLVLBS)000370629LBS01-Aleph,tUP : VUP-blad : Vereniging universitaire parochies,478004^$1$8$w(BeLVLBS)000454757LBS01-Aleph,tKUC : maandblad van het Katoliek universitair centrum.,478004^$1$8$w(BeLVLBS)001792393LBS01-Aleph,tDe dauw.,478004,,,,,^$ $ $aSamensmelting van : UP : VUP-blad : Vereniging universitaire parochies, en : De dauw, en : KUC : maandblad van het Katholiek universitair centrum,,,,,,,,,^$ $ $aNZJOURN123,,,,,,,,,,,,,,,,,,,,,,,
00952nas  2200241u  4500,952,nas,  2200241u  4500,994255900101480,99425590,101480,831021d19811983be mr|p||     0|||a|dut c,831021,d,1981,1983,be, mr|p||     0|||a|du, mr|p||     0|||a|,du,^$ $ $a(BeLVLBS)000425590LBS01-Aleph^$ $ $a984804^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)994255900101471,a(BeLVLBS)000425590LBS01-Aleph^,a(BeLVLBS),000425590LBS01-Aleph,a984804^,a(EXLNZ-32KUL_LIBIS_NETWORK)994255900101471,a(EXLNZ-32KUL_LIBIS_NETWORK)994255900101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aKatholieke wereld : tijdschrift voor internationale katholieke informatie.$ $ $6116091,^$0$0$aKatholieke wereld : tijdschrift voor internationale katholieke informatie.,Katholieke wereld : tijdschrift voor internationale katholieke informatie.,6116091,,6116091,,6116091,,^$ $ $aBeveren$ $ $bOrbis en Orion$ $ $c[1981]-[1983],^,aBeveren,aBeveren,aBeveren,aBeveren,Beveren,,,bOrbis en Orion,Orbis en Orion,c[1981]-[1983],,[1981]-[1983],,,,,,,,,^,aMonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ae,^$ $7$2UDC$ $ $a2$ $ $xGodsdienst. Theologie^$ $7$2UDC$ $ $a2 <05>$ $ $xGodsdienst. Theologie--Tijdschriften^$ $7$2KUL$ $ $a#ANTILTP9506,,,,,,,,,,,,,,,,^$1$8$w(BeLVLBS)000425583LBS01-Aleph$ $ $tInzicht : tijdschrift voor internationale katholieke informatie$ $ $4780,^$1$8$w(BeLVLBS)000425583LBS01-Aleph,tInzicht : tijdschrift voor internationale katholieke informatie,4780,,,,,,,,,^$ $ $aVoortzetting van: Inzicht: tijdschrift voor internationale katholieke informatie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01321nas  2200325u  4500,1321,nas,  2200325u  4500,994395620101480,99439562,101480,831219d19811995be zr|p||     0|||a|dut c,831219,d,1981,1995,be, zr|p||     0|||a|du, zr|p||     0|||a|,du,^$ $ $a(BeLVLBS)000439562LBS01-Aleph^$ $ $a1015982^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)994395620101471,a(BeLVLBS)000439562LBS01-Aleph^,a(BeLVLBS),000439562LBS01-Aleph,a1015982^,a(EXLNZ-32KUL_LIBIS_NETWORK)994395620101471,a(EXLNZ-32KUL_LIBIS_NETWORK)994395620101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aWereldbrief.$ $ $6932298,^$0$0$aWereldbrief.,Wereldbrief.,6932298,,6932298,,6932298,,^$ $ $aAntwerpen$ $ $bWereldbrief$ $ $c[1981]-[1995],^,aAntwerpen,aAntwerpen,aAntwerpen,aAntwerpen,Antwerpen,,,bWereldbrief,Wereldbrief,c[1981]-[1995],,[1981]-[1995],,,,,,,,,^,aOther,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ae,^$ $7$2UDC$ $ $a266 <05>$ $ $xMissies. Evangelisatie. Zending--Tijdschriften^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,^$2$ $aBroederlijk delen$ $ $cBrussel$ $ $4oth^$2$ $aComité van de missionerende instituten$ $ $4oth^$2$ $aPax Christi$ $ $cVlaanderen$ $ $4oth^$2$ $aKommissie rechtvaardigheid en vrede$ $ $4oth^$2$ $aWereldwijd$ $ $4oth,,,,,,,,,,,,,,^$ $ $aBroederlijk delen; Comité van de missionerende instituten; Pax Christi Vlaanderen; Kommissie rechtvaardigheid en vrede; Wereldwijd,,,,,,,,,,,,,^$ $ $aVanaf 1996 opgenomen in: De vijgeboom: tijdschrift voor strijd en inkeer,,,,,,,,^$1$8$w(BeLVLBS)000449840LBS01-Aleph$ $ $tDe vijgeboom : tijdschrift voor strijd en inkeer$ $ $4773,,,,,,,,,,,,,,,,,,,,,,,,,,
00583nas  2200205u  4500,583,nas,  2200205u  4500,994725790101480,99472579,101480,840515q19821984be qr|p||     0|||a|dut c,840515,q,1982,1984,be, qr|p||     0|||a|du, qr|p||     0|||a|,du,^$ $ $a(BeLVLBS)000472579LBS01-Aleph^$ $ $a1096176^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)994725790101471,a(BeLVLBS)000472579LBS01-Aleph^,a(BeLVLBS),000472579LBS01-Aleph,a1096176^,a(EXLNZ-32KUL_LIBIS_NETWORK)994725790101471,a(EXLNZ-32KUL_LIBIS_NETWORK)994725790101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aSpellenkrant.$ $ $61201882,^$0$0$aSpellenkrant.,Spellenkrant.,61201882,,61201882,,61201882,,,,,,,,,,,,,,,[1982]-[1984].,,,,,,,,,^,aQuarterly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-[1984]^$ $1$aLeuven$ $ $bIFS$ $ $31982-[1984].,,c1982-[1984],c1982-[1984],,,,,aLeuven$ $ $bIFS$ $ $31982-[1984].,,Leuven$ $ $bIFS$ $ $31982-[1984].,Leuven,bIFS,31982-[1984].,c[1982]-[1984].,[1982]-[1984].,,,,,,,,,,,,,,,,,,,,^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00809nas  2200241u  4500,809,nas,  2200241u  4500,994746070101480,99474607,101480,840524q19831984fr zr|p||     0|||a|fre c,840524,q,1983,1984,fr, zr|p||     0|||a|fr, zr|p||     0|||a|,fr,^$ $ $a(BeLVLBS)000474607LBS01-Aleph^$ $ $a1101500^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)994746070101471,a(BeLVLBS)000474607LBS01-Aleph^,a(BeLVLBS),000474607LBS01-Aleph,a1101500^,a(EXLNZ-32KUL_LIBIS_NETWORK)994746070101471,a(EXLNZ-32KUL_LIBIS_NETWORK)994746070101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aInformations education.$ $ $613099035,^$0$0$aInformations education.,Informations education.,613099035,,613099035,,613099035,,^$ $ $aParis$ $ $bCentre catholique international pour l'Unesco$ $ $c[1983]-[1984],^,aParis,aParis,aParis,aParis,Paris,,,bCentre catholique international pour l'Unesco,Centre catholique international pour l'Unesco,c[1983]-[1984],,[1983]-[1984],,,,,,,,,^,aUnknown,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ae,^$ $7$2KUL$ $ $a#ANTIL0207,^$2$ $aCentre catholique international pour l'UNESCO$ $ $4oth^$2$ $aInternational center for UNESCO$ $ $4oth,^$1$1$aEducation news,^$1$1$aEducation news,,,,,,,,,,,,^$ $ $aInternational centre for UNESCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01276nas  2200361u  4500,1276,nas,  2200361u  4500,994746570101480,99474657,101480,840524d19821985be mr|p||     0|||a|dut c,840524,d,1982,1985,be, mr|p||     0|||a|du, mr|p||     0|||a|,du,^$ $ $a(BeLVLBS)000474657LBS01-Aleph^$ $ $a1101650^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)994746570101471,a(BeLVLBS)000474657LBS01-Aleph^,a(BeLVLBS),000474657LBS01-Aleph,a1101650^,a(EXLNZ-32KUL_LIBIS_NETWORK)994746570101471,a(EXLNZ-32KUL_LIBIS_NETWORK)994746570101471,,,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,aBeLVLBS,bLanguage of cataloging varies,erda based,^$0$0$aKomma : 'n progressief maandblad.$ $ $6486837,^$0$0$aKomma : 'n progressief maandblad.,Komma : 'n progressief maandblad.,6486837,,6486837,,6486837,,^$ $ $aAntwerpen$ $ $bKomma$ $ $c[1982]-[1984],^,aAntwerpen,aAntwerpen,aAntwerpen,aAntwerpen,Antwerpen,,,bKomma,Komma,c[1982]-[1984],,[1982]-[1984],,,,,,,,,^,aMonthly,,,,,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-1985^$ $1$aAntwerpen$ $ $bKomma,,c1982-1985,c1982-1985,,,,,aAntwerpen$ $ $bKomma,,Antwerpen$ $ $bKomma,Antwerpen,bKomma,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ae,,^$2$ $aBevrijdings pers agentschap$ $ $4oth^$2$ $aElcker-Ik federatie$ $ $4oth^$2$ $aOxfam-Wereldwinkels$ $ $4oth,,,,,,,,,,,,,,^$ $ $aBevrijdings pers agentschap^$ $ $aElcker-Ik federatie^$ $ $aOxfam-Wereldwinkels^$ $ $aCorporaties varieren,^$1$8$w(BeLVLBS)000485377LBS01-Aleph$ $ $tBPA-bulletin$ $ $4780^$1$8$a(BeLVLBS)001562887LBS01-Aleph$ $ $tElcker-Ik: volksontwikkeling in de sociale en politieke praktijk$ $ $4780,^$1$8$w(BeLVLBS)000485377LBS01-Aleph,tBPA-bulletin,4780^$1$8$a(BeLVLBS)001562887LBS01-Aleph,tElcker-Ik: volksontwikkeling in de sociale en politieke praktijk,4780,,,,^$ $ $a0771-9280,,,^$ $ $aVoortzetting van: BPA-bulletin en Elcker-Ik: volksontwikkeling in de sociale en politieke praktijk,,,,,,,,,^$ $ $aNZJOURN123,,,,,,,,,,,,,,,,,,,,,,,,,
